id,Trans_id,stations,color,walktime,description
19,0,",Franklin,Fairmount",#8E44AD,12,"Morton Street"
19,1,",28,29",#F5C00E,2,"Blue Hill Ave @ Woodrow Ave"
20,0,",Red,LIne",#EC211F,8,"JFK / UMass"
20,1,",Greenbush/Kingston",#8E44AD,8,"JFK / UMass"
20,2,",Middleborough/Lakeville",#8E44AD,8,"JFK / UMass"
20,3,",8,16,41",#EB841E,8,"JFK / UMass"
20,4,",18",#EB841E,2,"Dorchster Ave @ Howes St"
21,0,",Red,Line",#DA1721,6,"JFK / UMass"
21,1,",Greenbush/Kingston",#8E44AD,6,"JFK / UMass"
21,2,",Fairmount/Franklin",#8E44AD,15,"Uphams Corner"
21,3,",8,16,41",#F5C00E,6,"JFK / UMass"
22,0,",Red,Line",#EC211F,6,"JFK / UMass"
22,1,",Greenbush/Kingston",#8E44AD,6,"JFK / UMass"
22,2,",8,16,41",#F5C00E,6,"JFK / UMass"
22,3,",Fairmount/Franklin",#80276c,15,"Uphams Corner"
22,4,",17,18",#F5C00E,7,"Boston St @ Mayhew St"
23,0,",80",#F5C00E,1,"Medford St @ Glenwood Rd"
23,1,",89,89/93",#F5C00E,5,"Broadway @ Medford St - Magoun Sq"
23,2,",101",#F5C00E,10,"Main St @ Broadway"
24,0,",Framingham/Worcester,Line",#8E44AD,12,"Boston Landing"
24,1,",64,66,501",#F5C00E,1,"Cambridge St @ Linden St"
24,2,",57",#F5C00E,4,"Brighton Ave @ Linden St"
25,0,",Red,LIne",#EC211F,8,"JFK / UMass"
25,1,",Greenbush/Kingston",#8E44AD,8,"JFK / UMass"
25,2,",Middleborough/Lakeville",#8E44AD,8,"JFK / UMass"
25,3,",8,16,41",#EB841E,8,"JFK / UMass"
25,4,",18",#EB841E,2,"Dorchster Ave @ Howes St"
26,0,",Greenbush/Kingston",#8E44AD,1,"JFK / UMass"
26,1,",Red,Line",#DA1721,1,"JFK / UMass"
26,2,",Middleborough/Lakeville",#8E44AD,1,"JFK / UMass"
26,3,",8,16,41",#EB841E,1,"JFK / UMass"
27,0,",Fairmount/Franklin",#8E44AD,7,"Four Corners/Geneva"
27,1,",14,22,28,29,45",#F5C00E,3,"Blue Hill Ave opp McLellan St"
28,0,",Red,Line",#EC211F,8,Porter
28,1,",Fitchburg,Line",#B933AD,8,Porter
28,2,",88,89",#F5C00E,2,"Highland Ave @ Willow Ave"
28,3,",87,88,89,90,94,96",#F5C00E,10,Davis
29,0,",80",#F5C00E,1,"Medford St @ Glenwood Rd"
29,1,",89,89/93",#F5C00E,5,"Broadway @ Medford St - Magoun Sq"
29,2,",101",#F5C00E,10,"Main St @ Broadway"
30,0,",Red,Line",#DA1721,6,"JFK / UMass"
30,1,",Greenbush/Kingston",#8E44AD,6,"JFK / UMass"
30,2,",Middleborough/Lakeville",#8E44AD,6,"JFK / UMass"
30,3,",18",#F5C00E,2,"Dorchester Ave @ Edison Green"
31,0,",B",#00843D,8,"Harvard Avenue"
31,1,",Framingham/Worcester,Line",#8E44AD,12,"Boston Landing"
31,2,",64,66,501",#F5C00E,2,"Cambridge St @ Linden St"
32,0,",Framingham/Worcester",#8E44AD,6,Auburndale
32,1,",D",#00843D,11,Riverside
32,2,",558",#F5C00E,11,Riverside
32,3,",MBRS",#DA1721,11,Riverside
